,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
await,,2.0,1.0
awaited,,,1.0
awake,2.0,1.0,2.0
awaken,,,1.0
awakened,1.0,,4.0
awakening,,,1.0
awaking,,,1.0
aware,25.0,15.0,16.0
away,133.0,78.0,112.0
awayand,1.0,,
awaybut,1.0,,
awayhe,1.0,,
awayparticularly,1.0,,
awaywhatever,1.0,,
awe,1.0,,
awes,1.0,,
awful,,3.0,3.0
awhile,,,1.0
awkward,12.0,3.0,3.0
awkwardness,5.0,4.0,1.0
awkwardnesses,1.0,,
awoke,1.0,,1.0
ay,,8.0,9.0
aye,12.0,1.0,13.0
ayear,,,16.0
ayearwere,,,1.0
ayelike,1.0,,
aymr,,1.0,
baby,6.0,,2.0
babys,,,1.0
bachelor,,,3.0
back,65.0,68.0,39.0
backed,,1.0,
backgammon,2.0,,
backgammontable,1.0,,
backgammontea,1.0,,
background,1.0,,
backlord,,,1.0
backward,1.0,,
backwardness,,,2.0
backwards,,,1.0
bad,54.0,28.0,12.0
badhe,1.0,,
badly,1.0,,
badness,,,1.0
badno,1.0,,
badthe,1.0,,
badthough,1.0,,
bahama,,1.0,
bailiff,1.0,,
baited,,1.0,
bake,1.0,,
baked,8.0,,
bakers,1.0,,
baking,1.0,,
balance,1.0,1.0,
balanced,,1.0,
baldwin,,3.0,
baldwins,,1.0,
ball,27.0,3.0,1.0
ballroom,5.0,,
ballrooms,1.0,,
balls,3.0,,3.0
ballswas,1.0,,
ballthe,1.0,,
ballwhy,1.0,,
balycraig,1.0,,
band,1.0,,1.0
bandied,1.0,,
banditti,,,1.0
bangs,1.0,,
banish,,1.0,1.0
banished,2.0,1.0,3.0
bank,4.0,1.0,
bankers,,,1.0
banknotes,,,1.0
banns,,,1.0
bar,1.0,,
barbarous,,,2.0
barbarously,,,1.0
bare,2.0,,
barefaced,,1.0,
barely,5.0,1.0,
bargain,2.0,,2.0
barnes,1.0,,
barns,,2.0,
baronet,,10.0,
baronetage,,2.0,
baronetblood,,1.0,
baronetcies,,1.0,
baronetcy,,2.0,
baronight,,1.0,
baronne,1.0,,
barouche,,1.0,2.0
barouchelandau,7.0,,
barouches,,,1.0
barrier,,1.0,
bars,1.0,,
bartletts,,,6.0
barton,,,89.0
base,1.0,,
bashful,,,1.0
bashfulness,1.0,,
basil,,3.0,
basin,4.0,,
basins,1.0,,
basis,2.0,,1.0
basket,4.0,,6.0
baskets,1.0,,
bates,120.0,,
bateses,4.0,,
batesesi,1.0,,
bateshe,1.0,,
batesi,2.0,,
batesit,1.0,,
batess,22.0,,
batessuch,1.0,,
bateswe,1.0,,
bath,20.0,101.0,2.0
bathed,,1.0,1.0
bathindeed,1.0,,
bathing,4.0,1.0,
baths,,1.0,
